Course,Section,L,Course Name,Enrolled,Credits,Days,Times,Rooms,Instructor
GERE-4008,76,,METODOS CUANTITATIVOS EN LA GERENCIA DE OPERACIONES,30,3,MJ,1:30 pm - 2:45 pm,AE-407,David Munoz Gonzalez 
GERE-4009,60,,PLANIFICACION Y CONTROL DE PRODUCCION,25,3,LWV,12:00 pm - 12:50 pm,AE-340,Mario Cordova Claudio 
GERE-4045,50,,MANEJO DE LA CADENA DE SUMINISTROS,30,3,LWV,11:00 am - 11:50 am,AE-338,Roberto Seijo Vidal 
GERE-4046,26,,GERENCIA DE OPERACIONES,41,4,MJ,8:00 am - 9:50 am,AE-303,David Munoz Gonzalez 
GERE-4046,30,,GERENCIA DE OPERACIONES,47,4,LW,9:00 am - 10:50 am,AE-407,David Munoz Gonzalez 
GERE-4995,1,#,INTERNADO EN GERENCIA DE OPERACIONES,6,0, , , ,Karen Cotto Quijano 
GERE-4995,2,#,INTERNADO EN GERENCIA DE OPERACIONES,6,0, , , ,Karen Cotto Quijano 
GERE-6025,36,,CONDUCTA ORGANIZACIONAL,22,3,S,9:00 am - 11:50 am,AE-303,Maria A Amador Dumois 
GERE-6096,126,,POLITICA DE NEGOCIOS,17,3,M,6:00 pm - 8:50 pm,AE-236,Maria A Amador Dumois 
GERH-4008,26,,GERENCIA DE RECURSOS HUMANOS,44,3,MJ,8:30 am - 9:45 am,AE-340,Patricia Valentin Castillo 
GERH-4008,76,,GERENCIA DE RECURSOS HUMANOS,44,3,MJ,1:30 pm - 2:45 pm,AE-402,Patricia Valentin Castillo 
GERH-4008,100,,GERENCIA DE RECURSOS HUMANOS,44,3,LW,4:00 pm - 5:15 pm,AE-303,Carmen Figueroa Medina 
GERH-4010,106,,LA MUJER Y EL TRABAJO,30,3,MJ,4:30 pm - 5:45 pm,AE-236,Maritza Soto Garcia 
GERH-4015,76,,PLANIFICACION Y EMPLEO DE LA FUERZA LABORAL,34,3,MJ,1:30 pm - 2:45 pm,AE-303,Carmen Figueroa Medina 
GERH-4019,26,,ADMINISTRACION DE LA COMPENSACION,30,3,MJ,8:30 am - 9:45 am,AE-236,Maritza Soto Garcia 
GERH-4025,76,,CONDUCTA ORGANIZACIONAL,34,3,MJ,1:30 pm - 2:45 pm,AE-341,Luz Quiñones González 
GERH-4025,96,,CONDUCTA ORGANIZACIONAL,34,3,MJ,3:00 pm - 4:15 pm,AE-303,Carmen Figueroa Medina 
GERH-4025,97,,CONDUCTA ORGANIZACIONAL,34,3,MJ,3:00 pm - 4:15 pm,AE-341,Luz Quiñones González 
GERH-4025,110,,CONDUCTA ORGANIZACIONAL,34,3,LW,5:30 pm - 6:45 pm,AE-303,Carmen Figueroa Medina 
GERH-4995,1,#,INTERNADO EN GERENCIA DE RECURSOS HUMANOS,6,0, , , ,Karen Cotto Quijano 
GERH-4995,2,#,INTERNADO EN GERENCIA DE RECURSOS HUMANOS,6,0, , , ,Karen Cotto Quijano 
GERH-6030,120,,GERENCIA DE SUPERVISION,17,3,L,6:00 pm - 8:50 pm,AE-236,Luz Quiñones González 
GERH-6040,126,,FUNDAMENTOS DE GERENCIA DE RECURSOS HUMANOS,17,3,J,6:00 pm - 8:50 pm,AE-402,Luz Quiñones González 
MERC-3115,40,,PRINCIPIOS DE MERCADEO,54,3,LWV,10:00 am - 10:50 am,AE-305,Edgar Soto Rodriguez 
MERC-3115,50,,PRINCIPIOS DE MERCADEO,55,3,LWV,11:00 am - 11:50 am,AE-305,Edgar Soto Rodriguez 
MERC-3117,76,,VENTAS Y GERENCIA DE VENTAS,30,3,MJ,1:30 pm - 2:45 pm,AE-338,Jose Vega Torres  Mari L. Zapata Ramos 
MERC-4217,1,#,COMPORTAMIENTO DEL CONSUMIDOR,14,3, , , ,Mari L. Zapata Ramos 
MERC-4217,66,,COMPORTAMIENTO DEL CONSUMIDOR,40,3,MJ,12:00 pm - 1:15 pm,AE-338,Mari L. Zapata Ramos 
MERC-4218,26,,ADMINSTRACION DE LOGISTICA,30,3,MJ,8:30 am - 9:45 am,AE-302,Edgar Soto Rodriguez 
MERC-4995,1,#,INTERNADO EN MERCADEO,6,0, , , ,Karen Cotto Quijano 
